szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 3 ; 15 ; 193 ; 0 ; 138 ; 12.78675282714055 ; 20.2 ; 38.192 ; 7.7144 ; 277.1376811594203 ; 30 ; 30 ; 45
constant ; 4 ; 15 ; 206 ; 0 ; 149 ; 13.786363636363637 ; 26.7 ; 44.0784 ; 11.7664 ; 305.61073825503354 ; 30 ; 30 ; 45
constant ; 5 ; 15 ; 185 ; 0 ; 140 ; 15 ; 21.6 ; 37.3104 ; 8.0464 ; 278.01428571428573 ; 30 ; 30 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 175 ; 0 ; 130 ; 11.90070093457944 ; 26.1 ; 40.0464 ; 10.444 ; 303.2769230769231 ; 30 ; 30 ; 60
constant ; 2 ; 15 ; 197 ; 0 ; 138 ; 14.112927191679049 ; 25.6 ; 42.3648 ; 10.8536 ; 283.9855072463768 ; 30 ; 30 ; 60
constant ; 3 ; 15 ; 169 ; 0 ; 120 ; 13.61595547309833 ; 23.1 ; 33.7928 ; 7.7936 ; 279.7083333333333 ; 30 ; 30 ; 60
constant ; 4 ; 15 ; 188 ; 0 ; 129 ; 13.602877697841727 ; 27.1 ; 42.968 ; 11.6488 ; 310.61240310077517 ; 30 ; 30 ; 60
constant ; 5 ; 15 ; 201 ; 0 ; 134 ; 12.75391032325339 ; 31.6 ; 46.3928 ; 14.6672 ; 317.7761194029851 ; 30 ; 30 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 178 ; 1 ; 126 ; 13.878587196467992 ; 20 ; 35.9928 ; 7.1824 ; 275.4047619047619 ; 30 ; 45 ; 15
constant ; 2 ; 15 ; 185 ; 0 ; 135 ; 12.59771754636234 ; 23.2 ; 39.9976 ; 9.284 ; 294.8740740740741 ; 30 ; 45 ; 15
constant ; 3 ; 15 ; 186 ; 0 ; 131 ; 13.151212553495007 ; 23.8 ; 38.4744 ; 9.156 ; 294.2671755725191 ; 30 ; 45 ; 15
constant ; 4 ; 15 ; 190 ; 0 ; 139 ; 14.336120401337793 ; 20.8 ; 42.7848 ; 8.8872 ; 318.0071942446043 ; 30 ; 45 ; 15
constant ; 5 ; 15 ; 183 ; 0 ; 133 ; 15.122727272727273 ; 24.4 ; 40.1176 ; 9.8016 ; 311.6616541353383 ; 30 ; 45 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 198 ; 2 ; 157 ; 12.463281958295557 ; 30.2 ; 47.0952 ; 14.2152 ; 310.52866242038215 ; 30 ; 45 ; 30
constant ; 2 ; 15 ; 189 ; 0 ; 135 ; 12.609937888198758 ; 28.2 ; 43.3096 ; 12.2024 ; 302.9111111111111 ; 30 ; 45 ; 30
