szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 30 ; 298 ; 67.2 ; 187.8 ; 10.249266512993438 ; 50.480000000000004 ; 87.89152 ; 44.39104 ; 384.6275513967929 ; 30 ; 45 ; 30
constant ; 30 ; 295.6 ; 70.4 ; 188.4 ; 10.801682594193329 ; 50.760000000000005 ; 87.51984 ; 44.45152 ; 382.20300403225804 ; 30 ; 45 ; 45
constant ; 30 ; 287.4 ; 90.2 ; 182.8 ; 10.825659027570206 ; 51.54 ; 87.89552 ; 45.294079999999994 ; 397.8158627350226 ; 30 ; 45 ; 60
constant ; 30 ; 297.2 ; 87 ; 189.2 ; 9.953080702716694 ; 51.31999999999999 ; 88.05424000000001 ; 45.186719999999994 ; 379.0635874438025 ; 30 ; 60 ; 15
constant ; 30 ; 286.2 ; 88.2 ; 178 ; 10.907743080905677 ; 52.8 ; 88.34336 ; 46.64512 ; 397.6982144360846 ; 30 ; 60 ; 30
constant ; 30 ; 287.6 ; 77.4 ; 180.4 ; 11.575218915865072 ; 51.239999999999995 ; 85.19472 ; 43.68256 ; 378.30759432340244 ; 30 ; 60 ; 45
constant ; 30 ; 282.8 ; 88.2 ; 180.2 ; 12.148357410944845 ; 53.120000000000005 ; 86.64207999999999 ; 46.06079999999999 ; 394.8717858098594 ; 30 ; 60 ; 60
constant ; 30 ; 336.8 ; 35 ; 229 ; 7.591612904764011 ; 43.02 ; 85.09184 ; 36.7056 ; 314.49605703403506 ; 45 ; 15 ; 15
constant ; 30 ; 332.6 ; 42.2 ; 222.2 ; 8.689069231373965 ; 45.1 ; 85.88304000000001 ; 38.75616 ; 323.39879185496176 ; 45 ; 15 ; 30
constant ; 30 ; 325 ; 50.2 ; 215.4 ; 9.192379059512543 ; 46.32000000000001 ; 86.90896 ; 40.303039999999996 ; 334.1761766658642 ; 45 ; 15 ; 45
constant ; 30 ; 326.6 ; 47.6 ; 218.2 ; 9.528510780349567 ; 46.44 ; 87.75312000000001 ; 40.78048 ; 341.0591593736909 ; 45 ; 15 ; 60
constant ; 30 ; 310.6 ; 63.2 ; 200.4 ; 8.528834959226028 ; 49.12 ; 87.82368 ; 43.144 ; 357.75923266680667 ; 45 ; 30 ; 15
constant ; 30 ; 314 ; 60.2 ; 204.2 ; 9.932269482667003 ; 45.7 ; 84.94208 ; 38.833439999999996 ; 348.770832817639 ; 45 ; 30 ; 30
constant ; 30 ; 304.6 ; 54 ; 195.6 ; 10.783094877785217 ; 47.660000000000004 ; 85.61168 ; 40.81936 ; 362.6997363574205 ; 45 ; 30 ; 45
constant ; 30 ; 297.8 ; 72.8 ; 191.6 ; 10.936774750649784 ; 49.44 ; 86.4648 ; 42.77568 ; 372.6629862314716 ; 45 ; 30 ; 60
constant ; 30 ; 299 ; 65 ; 189.6 ; 9.567456884621723 ; 50.519999999999996 ; 88.57408000000001 ; 44.7792 ; 370.2201807442778 ; 45 ; 45 ; 15
constant ; 30 ; 290.2 ; 81.8 ; 182.4 ; 10.944915606997426 ; 51.02 ; 86.4584 ; 44.13152 ; 383.59319097229326 ; 45 ; 45 ; 30
constant ; 30 ; 288.2 ; 98.2 ; 184.4 ; 11.331054720142962 ; 51.48 ; 86.61632 ; 44.57776 ; 389.5127192016377 ; 45 ; 45 ; 45
constant ; 30 ; 285.6 ; 74.8 ; 186.2 ; 11.471746856054898 ; 52.04 ; 84.89376 ; 44.16768 ; 377.938920889732 ; 45 ; 45 ; 60
constant ; 30 ; 292.6 ; 84 ; 190.2 ; 9.999892647973558 ; 50.339999999999996 ; 86.33296000000001 ; 43.53856 ; 379.630807121324 ; 45 ; 60 ; 15
constant ; 30 ; 287 ; 78.8 ; 182.8 ; 11.461267019961877 ; 51.760000000000005 ; 85.39264 ; 44.193760000000005 ; 382.4942984020505 ; 45 ; 60 ; 30
constant ; 30 ; 278.6 ; 102.8 ; 176.4 ; 11.900247389003908 ; 53.21999999999999 ; 85.90144000000001 ; 45.7432 ; 393.1012674199749 ; 45 ; 60 ; 45
constant ; 30 ; 267.4 ; 117.2 ; 166.8 ; 12.537597582815781 ; 54.64 ; 86.22976 ; 47.1032 ; 412.64839874706615 ; 45 ; 60 ; 60
constant ; 30 ; 338.6 ; 44 ; 226.6 ; 7.608106005224377 ; 45.22 ; 88.25424000000001 ; 39.94352 ; 332.1792505805098 ; 60 ; 15 ; 15
constant ; 30 ; 329.4 ; 49 ; 215.2 ; 9.010722330382086 ; 44.68 ; 87.93104 ; 39.30592 ; 334.66433263763884 ; 60 ; 15 ; 30
constant ; 30 ; 325.8 ; 42.6 ; 213.6 ; 9.530731984222317 ; 43.38 ; 82.80416 ; 35.97312 ; 324.47316021512694 ; 60 ; 15 ; 45
constant ; 30 ; 325.6 ; 39.2 ; 214 ; 9.807603411994311 ; 46.28000000000001 ; 86.47744 ; 40.03904 ; 334.63958274575896 ; 60 ; 15 ; 60
constant ; 30 ; 315.8 ; 65.8 ; 206.6 ; 8.586384686492398 ; 47.28000000000001 ; 86.60719999999999 ; 40.96192 ; 349.1872238770765 ; 60 ; 30 ; 15
constant ; 30 ; 310 ; 76.8 ; 199.6 ; 10.012814692977404 ; 47.18 ; 86.30768 ; 40.736799999999995 ; 355.9983041020833 ; 60 ; 30 ; 30
constant ; 30 ; 305.2 ; 80.6 ; 195.4 ; 10.99711387636257 ; 50.42 ; 88.33264 ; 44.5352 ; 366.268331297783 ; 60 ; 30 ; 45
constant ; 30 ; 308.4 ; 64.8 ; 196.6 ; 11.097223464667183 ; 49.080000000000005 ; 87.41872 ; 42.908 ; 363.15915890343086 ; 60 ; 30 ; 60
constant ; 30 ; 299.2 ; 66 ; 190.6 ; 9.81053945564242 ; 50.68000000000001 ; 87.64016000000001 ; 44.466719999999995 ; 373.04466288979563 ; 60 ; 45 ; 15
constant ; 30 ; 298.2 ; 82.8 ; 187.4 ; 11.242699926643569 ; 51.14 ; 88.24271999999999 ; 45.12256000000001 ; 382.4356121724053 ; 60 ; 45 ; 30
constant ; 30 ; 284 ; 91.8 ; 175.8 ; 11.512714803239067 ; 52.480000000000004 ; 87.73248000000001 ; 46.05968 ; 394.2269238284423 ; 60 ; 45 ; 45
constant ; 30 ; 282.2 ; 84.8 ; 175.2 ; 11.896291649781016 ; 52.260000000000005 ; 86.09344 ; 45.01536 ; 395.8772681208631 ; 60 ; 45 ; 60
constant ; 30 ; 289.8 ; 91.2 ; 180 ; 10.297463628595711 ; 52.3 ; 86.88672 ; 45.42096 ; 381.0715994623656 ; 60 ; 60 ; 15
constant ; 30 ; 284.6 ; 82 ; 177.8 ; 11.788601378858758 ; 51.9 ; 85.81071999999999 ; 44.556 ; 397.70742577671734 ; 60 ; 60 ; 30
constant ; 30 ; 278.2 ; 107.8 ; 173.4 ; 12.540377164076018 ; 52.120000000000005 ; 86.70528 ; 45.18208 ; 408.5646944660829 ; 60 ; 60 ; 45
constant ; 30 ; 278 ; 110.6 ; 172.4 ; 12.789920099995868 ; 54.54 ; 87.60319999999999 ; 47.806079999999994 ; 410.0329109219131 ; 60 ; 60 ; 60
szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 45 ; 370.8 ; 193.4 ; 255.8 ; 6.215344010896173 ; 44.78 ; 97.40928 ; 43.66096 ; 333.15398416672645 ; 15 ; 15 ; 15
constant ; 45 ; 365.8 ; 195.6 ; 247.4 ; 7.095783825360874 ; 45.58 ; 97.93951999999999 ; 44.627680000000005 ; 343.3375782855613 ; 15 ; 15 ; 30
constant ; 45 ; 365 ; 185 ; 251.8 ; 7.269090021080421 ; 46.36 ; 97.78352 ; 45.3296 ; 335.129070448436 ; 15 ; 15 ; 45
constant ; 45 ; 358.6 ; 193.2 ; 241.2 ; 7.788718435753593 ; 46.42 ; 97.42432 ; 45.20816 ; 347.19467168223224 ; 15 ; 15 ; 60
constant ; 45 ; 350.8 ; 213.4 ; 232.8 ; 6.894491847468849 ; 46.54 ; 98.52768 ; 45.84624 ; 362.6839193804866 ; 15 ; 30 ; 15
constant ; 45 ; 343 ; 221.6 ; 230.2 ; 7.702212115113679 ; 46.720000000000006 ; 95.85216 ; 44.77728 ; 361.6945885029894 ; 15 ; 30 ; 30
constant ; 45 ; 334.6 ; 235.2 ; 224.6 ; 8.304910535508014 ; 48.540000000000006 ; 96.27392 ; 46.71968 ; 371.90985816681007 ; 15 ; 30 ; 45
constant ; 45 ; 334.4 ; 231.6 ; 222.2 ; 8.726527607973079 ; 49.56 ; 97.37696 ; 48.2608 ; 374.7815612554393 ; 15 ; 30 ; 60
constant ; 45 ; 331.8 ; 234.4 ; 218 ; 7.404281161633624 ; 50.84 ; 97.20464000000001 ; 49.40352 ; 371.9601538616644 ; 15 ; 45 ; 15
constant ; 45 ; 321 ; 230 ; 208 ; 8.637204205272043 ; 51.019999999999996 ; 95.28703999999999 ; 48.615520000000004 ; 383.3968502874559 ; 15 ; 45 ; 30
constant ; 45 ; 315.4 ; 251.6 ; 204 ; 9.080970466825287 ; 50.8 ; 93.88832000000001 ; 47.69199999999999 ; 382.4799099757406 ; 15 ; 45 ; 45
constant ; 45 ; 311 ; 247.6 ; 200.8 ; 9.175985341650584 ; 52.2 ; 95.47056 ; 49.830239999999996 ; 387.62510636804546 ; 15 ; 45 ; 60
constant ; 45 ; 315.4 ; 237.4 ; 203.6 ; 7.8598374366844554 ; 51.760000000000005 ; 95.62447999999999 ; 49.51632 ; 386.6305881093067 ; 15 ; 60 ; 15
constant ; 45 ; 317.2 ; 238.4 ; 203 ; 8.696281624859623 ; 51.48 ; 95.27727999999999 ; 49.03744 ; 394.6945135031116 ; 15 ; 60 ; 30
constant ; 45 ; 311.6 ; 256.8 ; 201.2 ; 9.348980008907409 ; 51.339999999999996 ; 95.92256 ; 49.27488 ; 398.55919983653246 ; 15 ; 60 ; 45
constant ; 45 ; 302.2 ; 256.8 ; 193 ; 10.117338937114791 ; 53.1 ; 94.90527999999999 ; 50.40656 ; 410.54947421018153 ; 15 ; 60 ; 60
constant ; 45 ; 352.8 ; 204 ; 243 ; 6.943411784018524 ; 47.17999999999999 ; 96.14912 ; 45.34352 ; 348.19258505094757 ; 30 ; 15 ; 15
constant ; 45 ; 345.6 ; 227.4 ; 230.2 ; 8.152684419377072 ; 48.459999999999994 ; 96.05648000000001 ; 46.56704 ; 356.259826410325 ; 30 ; 15 ; 30
constant ; 45 ; 345.6 ; 217.4 ; 234.4 ; 8.404844626607353 ; 47.540000000000006 ; 93.79104 ; 44.611039999999996 ; 350.4566330234541 ; 30 ; 15 ; 45
constant ; 45 ; 340.6 ; 233.8 ; 233 ; 8.905714342667974 ; 48.96 ; 94.98112 ; 46.52192000000001 ; 351.04824784999283 ; 30 ; 15 ; 60
